Lodge Reina,Pekín,China,3,6,129.13 EUR
Resort Panorama,Pekín,China,4,1,165.01 EUR
Hotel Esmeralda,Sídney,Australia,4,5,194.72 EUR
Grand Costa,Sídney,Australia,2,3,90.63 EUR
Inn Continental,Sídney,Australia,1,6,49.91 EUR
Suites Alhambra,Sídney,Australia,1,2,35.01 EUR
Hotel Real,Sídney,Australia,5,2,313.92 EUR
Inn Paraíso,Sídney,Australia,3,5,111.4 EUR
Palace Horizonte,Sídney,Australia,5,6,296.98 EUR
Suites Imperial,Melbourne,Australia,4,3,176.14 EUR
Lodge Laguna,Melbourne,Australia,4,1,177.73 EUR
Grand Montaña,Melbourne,Australia,5,4,204.67 EUR
Plaza Luna,Dubái,Emiratos Árabes Unidos,1,2,41.63 EUR
Suites Central,Dubái,Emiratos Árabes Unidos,1,2,42.2 EUR
Inn Sierra,Dubái,Emiratos Árabes Unidos,4,2,133.57 EUR
Inn Horizonte,Dubái,Emiratos Árabes Unidos,3,1,96.22 EUR
Grand Pacífico,Dubái,Emiratos Árabes Unidos,4,1,183.78 EUR
Lodge Laguna,Dubái,Emiratos Árabes Unidos,5,6,290.87 EUR
Resort Real,El Cairo,Egipto,5,1,229.99 EUR
Plaza Real,El Cairo,Egipto,2,5,64.58 EUR
Resort Pacífico,El Cairo,Egipto,2,3,65.69 EUR
Palace Costa,Estambul,Turquía,2,3,74.16 EUR
Lodge Horizonte,Estambul,Turquía,1,4,44.35 EUR
Suites Costa,Estambul,Turquía,5,4,286.36 EUR
Inn Mediterráneo,Estambul,Turquía,2,1,75.48 EUR
Lodge Panorama,Estambul,Turquía,2,1,67.61 EUR
Inn Marina,Estambul,Turquía,3,1,94.05 EUR
Lodge Victoria,Bangkok,Tailandia,3,2,125.57 EUR
Hotel Real,Bangkok,Tailandia,3,6,107.36 EUR
Resort Panorama,Bangkok,Tailandia,1,5,32.05 EUR
Palace Pacífico,Bangkok,Tailandia,4,5,148.52 EUR
Palace Andes,Singapur,Singapur,5,3,286.39 EUR
Lodge Catedral,Singapur,Singapur,4,2,183.61 EUR
Lodge Sol,Singapur,Singapur,3,4,116.71 EUR
Plaza Oasis,Singapur,Singapur,1,2,45.88 EUR
Lodge Aurora,Singapur,Singapur,5,4,251.37 EUR
Inn Continental,Singapur,Singapur,5,5,201.18 EUR
Lodge Oasis,Moscú,Rusia,3,3,87.34 EUR
Grand Central,Moscú,Rusia,1,3,35.42 EUR
Hotel Paraíso,Moscú,Rusia,2,5,69.58 EUR
Resort Horizonte,Varsovia,Polonia,3,5,126.68 EUR
Hotel Reina,Varsovia,Polonia,1,6,34.67 EUR
Plaza Central,Varsovia,Polonia,1,2,48.2 EUR
Suites Central,Varsovia,Polonia,4,1,128.58 EUR
Plaza Sol,Budapest,Hungría,4,3,167.99 EUR
Lodge Andes,Budapest,Hungría,3,6,83.14 EUR
Palace Panorama,Budapest,Hungría,3,3,111.33 EUR
Inn Laguna,Budapest,Hungría,2,3,85.14 EUR
Grand Esmeralda,Budapest,Hungría,4,1,174.96 EUR
Lodge Costa,Budapest,Hungría,2,5,76.14 EUR
Suites Mediterráneo,Dublín,Irlanda,3,6,82.43 EUR
Resort Catedral,Dublín,Irlanda,2,2,70.62 EUR
Resort Esmeralda,Dublín,Irlanda,3,4,115.4 EUR
Palace Sierra,Dublín,Irlanda,5,5,304.93 EUR
Inn Esmeralda,Dublín,Irlanda,3,1,90.35 EUR
Inn Imperial,Edimburgo,Reino Unido,1,5,40.37 EUR
Inn Central,Edimburgo,Reino Unido,5,5,316.21 EUR
Plaza Central,Edimburgo,Reino Unido,5,4,306.15 EUR
Suites Luna,Edimburgo,Reino Unido,4,4,164.13 EUR
Lodge Andes,Edimburgo,Reino Unido,2,4,57.9 EUR
Plaza Reina,Edimburgo,Reino Unido,2,2,83.76 EUR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
